제목,날짜,긍정,부정,중립,제목_긍정,제목_부정,제목_중립
2차 전지 조정 받을 겁니다 그때 '이걸' 사세요 [박순혁 이사 1부],2023-04-26,0.011770265,0.020939557,0.96729016,6.42E-05,0.000145213,0.9997907
부자들이 고급 SUV를 타지 않는 이유 [독한자들 : 아비투스 2부],2023-04-26,0.000964723,0.007978228,0.99105704,0.040171422,0.004513362,0.9553152
앞으로 인생을 결정짓는 7가지 품격 [독한자들 : 아비투스 1부],2023-04-25,0.000855636,0.008258155,0.9908863,8.02E-05,4.95E-05,0.9998703
"아직 안심하지 마세요, 집값 하락 이때까지 갑니다 [김영익 교수 풀버전]",2023-04-24,0.016456312,0.04352312,0.9400206,4.05E-05,5.91E-05,0.99990046
지금 무주택 실수요자는 '이 기회' 노려야 합니다 [박원갑 박사 3부],2023-04-24,0.000787718,0.004330594,0.99488175,0.000101508,0.000133668,0.99976474
"""이 직업이 맞는지 모르겠어요"" 이렇게 판단하세요",2023-04-24,0.000914512,0.01162859,0.9874569,6.97E-05,4.39E-05,0.9998864
"""하루 2명 실신도"" 사상 최악의 지옥철",2023-04-23,0.001017924,0.0661173,0.93286484,0.001084694,0.36070037,0.6382149
싸게 살 기회 '급매' 이제 줄어듭니다 [박원갑 박사 2부],2023-04-22,0.007250422,0.024235444,0.96851414,5.72E-05,8.28E-05,0.9998599
지방대 낙제생이 30대에 100억 벌고 깨달은 것 [오두환 대표 2부],2023-04-22,0.007167464,0.005877204,0.98695534,0.00015257,0.000139487,0.999708
빨리 부자되는 것보다 훨씬 중요한 ‘이것‘ [상남자들],2023-04-21,0.006296631,0.014067967,0.9796354,0.000530065,0.000183463,0.9992865
앞으로 집값은 '이것에' 따라 달라집니다 [박원갑 박사 1부],2023-04-20,0.009327945,0.04655136,0.9441207,4.63E-05,4.21E-05,0.99991155
전국 아파트 실거래가지수 10개월 만에 반등?,2023-04-20,0.003318538,0.022608405,0.9740731,0.001531132,0.000222176,0.99824667
상위 5% 부자를 만드는 3가지 마인드 [오두환 대표 1부],2023-04-19,0.006638189,0.011851076,0.98151076,0.000136246,4.16E-05,0.9998222
부자들은 오히려 폭락에 환호하는 이유 [독한자들 : 저스트 킵 바잉 2부],2023-04-19,0.002779021,0.0065317,0.9906893,0.000202312,0.00058303,0.99921465
가난한 사람은 저축하고 부유한 사람은 투자하는 이유 [독한자들 : 저스트 킵 바잉 1부],2023-04-18,0.001058353,0.008341512,0.99060017,0.000186399,0.000111979,0.99970156
부자될 아이는 '이게' 다릅니다 [최하진 박사 2부],2023-04-17,0.001173376,0.003142561,0.9956841,8.85E-05,6.54E-05,0.9998462
"""여기도 대출 규제 풉니다"" 큰맘 먹은 정부의 결심",2023-04-17,0.001947165,0.011118973,0.98693395,5.27E-05,3.91E-05,0.9999082
부자되고 싶다고 말만 하는 사람들,2023-04-16,0.006078398,0.018561156,0.97536045,0.000447717,0.000243907,0.99930847
"""제발 멈추세요"" 한국을 불행하게 만드는 이것 [최하진 박사 1부]",2023-04-15,0.000913837,0.015696561,0.98338956,7.90E-05,0.000176529,0.9997445
28세에 1억 4천 모은 남자의 고충 [상남자들],2023-04-14,0.001202205,0.008207914,0.99058986,0.00054319,0.000752412,0.9987043
한국에서 이혼하면 벌어지는 일 [박은주 변호사 3부],2023-04-13,0.001518805,0.011238881,0.9872422,0.000110694,0.000178862,0.9997104
"이번에도 금리 인상 없었다, 진짜 정점 찍었나?",2023-04-13,0.002248655,0.02399964,0.9737518,7.42E-05,0.000107218,0.9998185
"""모르면 가난해집니다"" 확 바뀌는 돈 버는 규칙 [김민식 PD 3부]",2023-04-12,0.001305686,0.00856019,0.9901342,7.59E-05,5.63E-05,0.9998678
절대 결혼하면 안 되는 최악의 배우자 특징 [박은주 변호사 2부],2023-04-12,0.000643213,0.015803212,0.9835536,3.61E-05,6.21E-05,0.9999018
한푼 없이 시작해 자산 1000억 만들었습니다 [지승하 대표],2023-04-11,0.004131609,0.011786279,0.9840821,0.03018149,0.034535382,0.93528306
최근 3040이 이혼하는 정말 의외의 이유 [박은주 변호사 1부],2023-04-10,0.0008922,0.013795214,0.9853125,0.000152788,0.000142717,0.9997044
서울 최대 랜드마크로 거듭날 이 공원,2023-04-10,0.000729643,0.002275038,0.9969954,0.000194205,0.000116557,0.9996892
처가 근처에 살기 VS 남편 직장 가깝게 이사가기,2023-04-09,0.004637845,0.003020235,0.9923419,6.58E-05,5.36E-05,0.99988055
세상이 변하고 있습니다 이제 부는 여기에 쌓입니다 [최윤식 박사 3부],2023-04-08,0.002257528,0.007646079,0.99009633,8.71E-05,7.42E-05,0.9998386
'이것'만 줄여도 비참한 노후 피할 수 있습니다 [김민식 PD 2부],2023-04-08,0.001151738,0.027618542,0.9712298,0.000561192,0.007590932,0.9918479
자산 3천만 원 22살 대학생 이제는 건물주되려 합니다 [상남자들],2023-04-07,0.00152079,0.007657726,0.99082154,0.000497667,0.000175648,0.9993267
입사도 쉽고 퇴사도 쉬워야 좋은 회사입니다 [김민식 PD 1부],2023-04-06,0.001201455,0.011321066,0.9874775,0.000461771,0.000703821,0.99883443
지금 3040이 다시 집 사는 이유,2023-04-06,0.000962061,0.026759649,0.97227824,7.77E-05,5.42E-05,0.99986804
지금 ‘미분양 사태’ 진짜 심각합니다 [채상욱 대표 3부],2023-04-05,0.001149738,0.032398667,0.96645164,0.000429789,0.014531265,0.985039
5년 간의 유튜브 공개방송 그동안 감사했습니다,2023-04-05,0.00176062,0.001828857,0.99641055,0.01281803,0.003864823,0.9833171
“악착같이 살지 마세요” 편하게 부를 독식하는 방법 [독한자들 : 레버리지 3부],2023-04-04,0.000688199,0.015195543,0.9841162,0.000105437,7.38E-05,0.99982065
“지금 집 살 때 아닌 이유” 이 2가지를 꼭 확인하세요 [채상욱 대표 2부],2023-04-03,0.001765154,0.04138184,0.9568531,4.33E-05,4.58E-05,0.99991083
"""월세&술값 아낍니다"" '여기로' 모이는 직장인들",2023-04-03,0.001213516,0.002565616,0.99622077,4.25E-05,4.46E-05,0.999913
당장 회사 나오고 싶은데 옳은 선택일까요?,2023-04-02,0.001084826,0.035835326,0.9630798,0.00041298,0.001354604,0.99823254
한국은 이제 두 가지 선택지에 있습니다 [최윤식 박사 2부],2023-04-01,0.01236087,0.018540068,0.96909904,0.000109046,0.000126372,0.9997646
인생에서 진짜 노력할 부분은 따로 있습니다 [독한자들 : 레버리지 2부],2023-03-31,0.001599464,0.004945049,0.99345547,0.000214074,0.000214795,0.999571
"""젊을 때 놀고 먹을래요"" 지금 정신차려야 합니다 [상남자들]",2023-03-31,0.005055702,0.014393782,0.9805506,6.69E-05,5.68E-05,0.9998764
하반기 부동산 반등 가능하다 VS 불가능하다 [채상욱 대표 1부],2023-03-30,0.002867845,0.035420332,0.9617119,0.000187248,6.51E-05,0.9997476
더 이상 세금이 문제가 아닙니다,2023-03-30,0.000891264,0.042727042,0.95638174,0.001572306,0.003099967,0.99532783
미국은 은행 파산 한국은 ‘여기가’ 진짜 위험합니다 [최윤식 박사 1부],2023-03-29,0.005152321,0.057697117,0.9371506,0.00042244,0.006235423,0.9933422
지루하고 평범한 삶을 끝내줄 기적의 투자법 [고준석 제이에듀투자자문 대표 3부],2023-03-29,0.001088267,0.06731917,0.9315925,0.005321877,0.000800385,0.9938778
더 이상 회사에 인생을 바치지 마세요[독한자들 : 레버리지 1부],2023-03-28,0.001226025,0.010085144,0.9886888,0.000140001,9.19E-05,0.9997681
실거주 욕심 버리고 “일단 월세 사세요” [제이에듀투자자문 고준석 대표 2부],2023-03-27,0.001332216,0.001611283,0.99705654,0.000509412,0.000346555,0.99914396
'5000만 원' 모은 30대 이제 집 사도 될까요?,2023-03-27,0.000787999,0.005523265,0.9936887,4.89E-05,6.31E-05,0.99988794
지금 사람들이 둔촌주공 계약 포기하는 이유,2023-03-26,0.02065633,0.02146669,0.957877,0.011764948,0.002211231,0.9860239
최고가 신고 후 취소? ‘실거래가 뻥튀기’ 처벌한다,2023-03-25,0.0036268,0.071286164,0.9250871,0.005099158,0.43369165,0.5612092
"부동산, 결국 회복됩니다. 이유는요 [21세기경제학연구소 최용식 소장 3부]",2023-03-25,0.012367769,0.020050595,0.9675817,4.03E-05,5.81E-05,0.99990165
월 1천 버는 신혼부부 근데 집은 없습니다 [상남자들],2023-03-24,0.000963849,0.01441845,0.98461765,6.03E-05,7.23E-05,0.99986744
요즘 신혼부부 첫 집 후보지 '경기 김포시' 임장 [부룡X부읽남 사이버 임장기],2023-03-23,0.000657733,0.004479178,0.99486303,4.21E-05,4.75E-05,0.99991024
삼성 덕에 집값 1억 '쑥' 읍내 아파트의 반전,2023-03-23,0.020576935,0.036800146,0.9426229,6.61E-05,5.57E-05,0.99987805
"집값, 결국 오릅니다 이유는요 [제이에듀투자자문 고준석 대표 1부]",2023-03-22,0.009247797,0.003004859,0.98774743,4.02E-05,7.11E-05,0.99988866
"금융위기 결국 터졌습니다, 이유는요 [21세기경제학연구소 최용식 소장 2부]",2023-03-22,0.001870362,0.09118771,0.906942,0.000399263,0.81418365,0.1854171
세계로 전염되는 대공황급 경제위기 [21세기경제학연구소 최용식 소장 1부],2023-03-21,0.017945144,0.06505094,0.9170039,0.000255655,0.003696121,0.9960483
앞으로 집값 이렇게 됩니다 [홍춘욱 박사],2023-03-20,0.010662846,0.008188484,0.98114854,4.94E-05,5.08E-05,0.99989986
한강에 진심인 '이 남자',2023-03-20,0.010813876,0.012497555,0.9766886,7.02E-05,0.000116279,0.9998135
"무주택자에게 지금 하락장, 기회인가요?",2023-03-19,0.001714512,0.007399475,0.990886,6.05E-05,9.05E-05,0.99984896
대치동 만큼 좋아요 여기 살아도 충분합니다 [더나음연구소 심정섭소장],2023-03-18,0.000432838,0.002881479,0.9966857,7.53E-05,7.08E-05,0.99985385
험난한 투자시장에서 살아남는 법 [홍진채 풀버전],2023-03-17,0.009020413,0.026269423,0.9647101,0.016004615,0.001784895,0.9822105
한 달에 데이트 비용 10만 원 쓰는 20대 남자 [상남자들],2023-03-17,0.002187452,0.016885173,0.98092735,8.36E-05,0.000144218,0.99977213
지금 1천만 원 있다면 이걸 사세요 [홍춘욱 박사],2023-03-16,0.022997243,0.08705839,0.8899444,0.000600531,0.001276059,0.99812347
'뱅크런' 터진 미국 금리 인상 멈출까,2023-03-16,0.001136424,0.084102415,0.9147612,6.84E-05,0.000240467,0.9996911
투자자들이 주목한다 '구리시' 임장기 [부룡X부읽남 사이버 임장기],2023-03-15,0.000665676,0.0031579,0.9961764,5.98E-05,4.31E-05,0.999897
올해는 정말 가난해집니다 그 이유는요 [홍춘욱 박사],2023-03-15,0.011844538,0.050209522,0.937946,8.35E-05,9.58E-05,0.99982077
집값 하락 지금부터 입니다 [서강대학교 김영익 교수],2023-03-14,0.001054449,0.020428212,0.97851735,4.69E-05,6.51E-05,0.99988806
10년 남았습니다 공부가 무의미해집니다 [더나음연구소 심정섭 소장 2부],2023-03-13,0.008562132,0.023193713,0.96824414,8.63E-05,0.000107415,0.99980634
"처음 집을 산다면, 반드시 봐야 할 영상",2023-03-13,0.00090144,0.0016406,0.9974579,5.25E-05,4.45E-05,0.99990296
오피스텔 소유자를 버린 정부,2023-03-12,0.006564526,0.002405947,0.9910295,7.82E-05,0.00016773,0.999754
역대급 가난에 빠질 한국인 꼭 '이렇게' 준비하세요 [한국경제산업연구원 김광석 실장 풀버전],2023-03-11,0.008136332,0.043529406,0.9483342,0.000119838,0.000132629,0.99974746
집은 여기에 사고 거주는 다른데 하세요 [더나음연구소 심정섭 소장],2023-03-11,0.00370921,0.002167626,0.9941232,7.39E-05,5.50E-05,0.999871
욜로하는 남자친구 때문에 힘듭니다 [상남자들],2023-03-10,0.006885224,0.009764263,0.98335046,0.000242527,0.000308633,0.99944884
"세계 경제, 이제 정말 답이 없습니다 [서강대학교 김영익 교수]",2023-03-09,0.003474177,0.036608636,0.95991725,6.59E-05,9.64E-05,0.99983776
동탄 집 팔고 '인천' 갈까요?,2023-03-09,0.001080516,0.00333961,0.9955799,3.89E-05,5.05E-05,0.9999107
딱 5천만 원만 모으세요 이렇게 굴리면 됩니다 [자기계발 재건축 투자자 진와이스],2023-03-08,0.004197671,0.01260774,0.9831946,0.000216224,0.000120223,0.9996636
강남 직장인이 좋아하는 '하남 미사강변도시' 임장기 [부룡X부읽남의 사이버 임장기],2023-03-08,0.000472087,0.001716371,0.9978115,4.61E-05,3.29E-05,0.99992096
중독경제 시대에서 새는 지출 막는 유일한 방법[김병규 연세대학교 경영대학 교수],2023-03-07,0.002242324,0.00196635,0.9957913,6.87E-05,6.26E-05,0.9998685
금리 인상 끝났습니다 이제 현금 갖고 있으면 위험합니다 [서강대학교 김영익 교수],2023-03-06,0.034110647,0.06003776,0.9058516,0.000133027,0.000187636,0.9996793
전세 빠지는데 집값 반등할까?,2023-03-06,0.010124702,0.012236557,0.9776388,4.55E-05,4.97E-05,0.99990475
아이 낳지 않는 나라 '한국',2023-03-05,0.000551802,0.03936933,0.96007884,8.48E-05,4.97E-05,0.99986553
제가 만났던 부자들이 무조건 지키는 습관 1가지 [조수빈 전 KBS 아나운서],2023-03-04,0.000815224,0.023396008,0.9757888,6.11E-05,4.67E-05,0.9998921
1살이라도 더 어릴 때 깨달아야 할 것 [김경록 전 미래에셋연금센터 대표],2023-03-04,0.002009166,0.011260696,0.9867301,9.23E-05,6.83E-05,0.9998394
욜로하다 정신차렸는데 정말 막막합니다 [상남자들],2023-03-03,0.008203039,0.02604126,0.9657557,0.000534004,0.000786494,0.9986796
아무리 잘 벌어도 결국 ’이것‘ 때문에 가난해집니다 [김병규 연세대학교 경영대학 교수],2023-03-02,0.000780482,0.010522259,0.9886973,0.000960454,0.002886243,0.9961533
신혼부부 노린 전세사기,2023-03-02,0.013864911,0.023981923,0.9621532,4.72E-05,5.29E-05,0.99989986
가난에 익숙해지면 절대 안 되는 이유 [러셀],2023-03-01,0.000657946,0.00208989,0.99725217,0.000356551,0.001544655,0.9980988
모든 사람의 인생은 35세에 결정됩니다 [정회도 타로마스터 3부],2023-02-28,0.001150564,0.008049651,0.9907998,0.000113541,5.53E-05,0.9998311
노후 파산 막을 유일한 방법 [김경록 전 미래에센연금센터 대표],2023-02-27,0.000640323,0.005435079,0.9939246,0.000370482,0.000358901,0.9992706
지금 집값 분위기는 이렇습니다,2023-02-27,0.030942565,0.030776799,0.9382806,7.47E-05,6.81E-05,0.9998572
"공무원 그만두고 사업하고 싶습니다, 더 나은 선택일까요? [대신 결정해주는 남자]",2023-02-26,0.001027943,0.009677266,0.9892948,0.000167958,0.000115373,0.9997167
대한민국 4050이 99% 두려워하는 '이것' [김경록 전 미래에셋 연금센터 대표],2023-02-25,0.001033082,0.027507,0.9714598,0.00010696,0.000104524,0.9997886
반드시 현금을 지키세요. 집값 반등은 '이때' 입니다 [김광석 실장 3부],2023-02-25,0.020714724,0.013246807,0.9660385,8.03E-05,3.95E-05,0.9998802
생활비에서 당장 없애야 할 7가지 항목 [김경필 머니트레이너 풀버전],2023-02-24,0.003322944,0.01336851,0.98330855,0.000105364,0.000208573,0.9996861
매달 230만 원 벌어서 220만 원 소비합니다 [상남자들],2023-02-24,0.001398403,0.060833335,0.9377682,0.000299033,0.000162706,0.9995382
간단하게 돈복 끌어당기는 방법 [정회도 타로마스터 2부],2023-02-23,0.000708689,0.001610831,0.9976804,5.80E-05,4.48E-05,0.99989724
금리 인상 vs 동결? 더 거센 후폭풍 온다,2023-02-23,0.001831861,0.028342646,0.9698255,4.84E-05,6.73E-05,0.99988437
미래에 강남을 위협할 '여의도' 임장기 [부룡X부읽남의 사이버 임장기],2023-02-22,0.000442294,0.001129775,0.99842787,4.47E-05,3.87E-05,0.9999167
돈의 이동은 이미 시작했습니다 꼭 '이렇게' 준비하세요 [김광석 실장 2부],2023-02-22,0.002773417,0.036716033,0.9605106,7.79E-05,5.53E-05,0.9998667
부자들은 무조건 피하는 5가지 인간 유형 [정회도 타로마스터 1부],2023-02-21,0.000966683,0.015550774,0.98348254,6.12E-05,4.19E-05,0.9998969
집값 더 떨어집니다 이때까진 집 사지 마세요 [북극성주 부동산 전문 투자자 2부],2023-02-20,0.001869759,0.023229882,0.9749003,4.31E-05,5.25E-05,0.9999044
"""지금은 분양 안 합니다"" 위기의 아파트 분양 시장",2023-02-20,0.009357145,0.05997181,0.930671,3.71E-05,5.93E-05,0.99990356
"수지 31평 VS 동탄 24평, 어디가 더 좋은 선택일까요? [대신 결정해주는 남자]",2023-02-19,0.001199206,0.002250633,0.9965502,6.37E-05,5.79E-05,0.9998784
요즘 빠르게 늘어나는 남편들의 이혼 사유는 이것입니다[이인철 이혼 전문 변호사 풀버전],2023-02-18,0.002033173,0.058810238,0.9391566,7.10E-05,9.13E-05,0.99983776
"같은 단지 안에서 서울, 경기로 나뉘던 신기한 아파트 [땅덕후들]",2023-02-18,0.000549101,0.009862592,0.98958826,4.27E-05,5.47E-05,0.9999026
인생을 바꾸고 싶다면 매일 이거 하나만 하세요 [조수빈 전 KBS 9시 뉴스 앵커],2023-02-17,0.000871547,0.000664309,0.99846417,0.000120343,7.32E-05,0.99980646
월급 90% 저축하고 있는게 고민인 20대 여자 [상남자들],2023-02-17,0.001562545,0.006377806,0.99205965,0.000567712,0.000818428,0.99861383
아직 시작도 안 했습니다 이제 곧 최악의 가난이 옵니다 [한국경제산업연구원 김광석 실장],2023-02-16,0.005063449,0.069412746,0.9255238,0.001128504,0.004811185,0.99406034
조만간 없어지는 대출 규제들 7가지,2023-02-16,0.000562105,0.001755244,0.9976827,4.17E-05,4.47E-05,0.9999136
집값 반등? 아닙니다 올해 더 떨어집니다 [북극성주 부동산 전문 투자자 1부],2023-02-15,0.018153798,0.030586278,0.9512599,4.87E-05,5.15E-05,0.99989986
"""저는 결혼 안 합니다""라는 말이 엄청난 손해인 이유 [김경필 머니트레이너 3부]",2023-02-15,0.000654835,0.010310507,0.98903465,7.27E-05,9.89E-05,0.99982834
경기도 과학고 진학률 1위 '안양시 평촌동' 사이버 임장기 [부룡X부읽남],2023-02-13,0.000503324,0.000550106,0.99894655,5.57E-05,4.17E-05,0.9999026
기준금리는 올라가는데 대출 금리는 내려가는 이유,2023-02-13,0.00079052,0.002000015,0.99720955,4.90E-05,6.89E-05,0.9998821
"고졸 취업 VS 대졸 취업, 뭐가 인생에 도움될까요? [대신 결정하는 남자]",2023-02-12,0.002090413,0.004124798,0.9937847,0.000120142,7.98E-05,0.9998
지금 경제 다 망한다는데 미국에서 일어나는 이상 현상 [박정호 교수 풀버전],2023-02-11,0.003081704,0.026418282,0.97049993,0.00019812,0.00018186,0.99961996
"삼성에서 최고 인사고과 받으면 생기는 일 [전 삼성전자 임직원, MBC 아나운서 이성배]",2023-02-11,0.015300754,0.011603565,0.9730957,8.49E-05,7.12E-05,0.99984384
당신을 결국 가난하게 만드는7가지 소비 [김경필 머니트레이너 2부],2023-02-10,0.000766834,0.006290081,0.992943,5.82E-05,7.57E-05,0.999866
전세 살자는 남편 VS 집 사자는 아내 [상남자들],2023-02-10,0.000641958,0.002589776,0.99676824,5.56E-05,6.05E-05,0.9998839
부동산 폭락 후 찾아올 역대급 기회 부자들은 이걸 노리고 있습니다 [박합수 교수 3부],2023-02-09,0.002493094,0.003929674,0.9935773,0.000162747,0.000146525,0.99969065
"1기 신도시 주민들 ""환영"", 노후 단지 특별법 진짜 우려되는 이유는 이겁니다",2023-02-09,0.001966606,0.008333766,0.9896996,3.42E-05,5.34E-05,0.9999124
"""나 분당에 살아요"" '성남시 분당구' 사이버 임장기 [부룡X부읽남]",2023-02-08,0.000508252,0.002204867,0.9972868,5.07E-05,4.62E-05,0.9999031
은퇴 후 필요한 생활비는 얼마? '제 2의 인생' 노후 대비법 [김경필 머니트레이너 1부],2023-02-08,0.000979233,0.022140803,0.97687995,0.000393515,0.000117053,0.9994894
50년 전 강남 ‘이 아파트’는 단돈 1천만 원이었습니다[김시덕 & 이모 씨의 땅덕후들 1부],2023-02-07,0.000875809,0.016455896,0.9826683,9.33E-05,7.59E-05,0.9998307
법인으로 아파트 산 사람들 이젠 정말 답이 없습니다,2023-02-06,0.000887138,0.01970911,0.9794038,7.13E-05,0.000114841,0.99981385
월세가 꽂히고 나서부터 인생이 바뀌었습니다[투자하는 환경미화원 구범준],2023-02-06,0.006299903,0.012171398,0.9815288,0.000126262,6.95E-05,0.9998043
지금 집 살까요? 좀 더 기다릴까요?,2023-02-05,0.001057491,0.000853614,0.9980888,5.02E-05,5.02E-05,0.9998995
"""이제는 진짜로 스마트폰이 없어집니다"" [김상균 교수 풀버전]",2023-02-04,0.008645582,0.034814715,0.9565397,0.000107015,0.00041596,0.9994771
"""30대 무주택자, 지금 집 사도 괜찮은가요?""",2023-02-04,0.000337343,0.001747307,0.9979153,4.36E-05,5.65E-05,0.99989986
KBS 9시 뉴스 앵커퇴사하고 비로소 깨달은 것 [조수빈 전 아나운서 1부],2023-02-03,0.001066308,0.02087581,0.97805786,6.24E-05,0.000121623,0.9998161
"보험만 11개, 월 800만 원 버는 30대 부부가 돈을 못 모으는 이유 [상남자들]",2023-02-03,0.002069487,0.021507105,0.9764233,0.000202786,0.000195166,0.999602
무주택자 지금 집 사지 마세요 먼저 이것부터 하세요 [박합수 교수 2부],2023-02-02,0.001318356,0.004730534,0.99395114,4.44E-05,4.71E-05,0.99990845
"""이젠 진짜 막아야 한다"" 또 다시 대출 규제를 푼 정부",2023-02-02,0.00653809,0.007403374,0.98605853,6.72E-05,6.55E-05,0.9998672
GTX 2개 노선이 만나는 '부천 중동 신도시' 임장기 [부룡X부읽남의 사이버 임장기],2023-02-01,0.000572342,0.000732773,0.99869496,3.95E-05,4.28E-05,0.99991775
"부동산 시장, 반등은 이때 올 겁니다 지금은 현금을 모으세요[박합수 교수 1부]",2023-02-01,0.01095178,0.009093705,0.97995454,0.000459432,9.70E-05,0.9994436
일산과 서울 사이 '고양 덕양구' 사이버 임장기 [부룡X부읽남의 사이버 임장기],2023-01-31,0.001674327,0.001835349,0.99649024,4.01E-05,3.95E-05,0.99992025
"""강남에 3년 살아봤는데 강남 별 거 없습니다"" ['김부장 이야기' 작가 송희구 2부] @thewriter-song",2023-01-30,0.00061371,0.007567395,0.9918187,4.85E-05,4.71E-05,0.9999044
서울 포기 못하는 신혼부부가 의외로 선호하는 '이곳' [러셀 2부],2023-01-30,0.00031216,0.000545101,0.9991427,3.99E-05,6.02E-05,0.9999
저도 중고차를 팔지만 지금은 차 사면 안 됩니다 [카준형 3부],2023-01-29,0.020153586,0.030166034,0.9496804,0.000539188,0.002089354,0.99737144
"""월세 받는 돈주머니"" 이렇게 만드는 겁니다 [수익형 부동산 투자자 강용수 대표 풀버전]",2023-01-28,0.004259754,0.014650567,0.9810897,0.000109349,6.21E-05,0.9998286
투자 중독으로 의사 면허까지 취소됐었습니다 [박종석 정신과 전문의 2부],2023-01-28,0.001548179,0.041235935,0.95721585,0.000182179,0.99282503,0.006992794
"부동산 폭락 '이때쯤' 멈출겁니다, 지금은 일단 기다리세요 [빈센트 풀버전]",2023-01-27,0.004447571,0.028104955,0.9674475,0.000248949,0.004942696,0.9948084
이 정도로 사치부리면 이혼사유도 됩니다[이인철 이혼 전문 변호사 3부],2023-01-27,0.001256276,0.023513185,0.9752306,7.89E-05,0.000295077,0.99962604
지금은 현금 모으고 있어야 합니다 조만간 기회가 옵니다 ['김부장 이야기' 작가 송희구 1부] @thewriter-song,2023-01-26,0.002488269,0.011865147,0.98564655,0.000632342,0.000249839,0.9991178
"""집 왜 샀어..?"" 소리 듣는 요즘, 실수요자 분위기는 이렇습니다 [러셀 1부]",2023-01-26,0.011130636,0.019037537,0.9698318,4.36E-05,6.95E-05,0.9998869
지금 현금 가지고 있어도 '이것' 없으면 투자에 실패합니다 [홍진채 대표 2부],2023-01-25,0.013607988,0.024645256,0.9617468,0.01867609,0.47723663,0.5040873
"GTX-A의 시작점, '파주 운정' 임장기와 미래 가치 [부룡X부읽남의 사이버 임장기]",2023-01-25,0.001651338,0.011303644,0.987045,0.000710068,0.00011487,0.99917513
제일 비싼데 정전되고 물 새는 대한민국 아파트 아이러니 [김시덕 & 이모 씨의 땅덕후들 2부],2023-01-23,0.001835528,0.024800166,0.97336423,3.91E-05,5.28E-05,0.9999081
"악착같이 해서 1번만 성과내세요, 그때부터 성공 가속 페달 밟습니다 [카준형 2부]",2023-01-23,0.008532465,0.032539878,0.95892763,0.00546726,0.0023915,0.99214125
앞으로 서울은 이렇게 변합니다,2023-01-23,0.000449519,0.007540895,0.9920096,0.000128923,8.70E-05,0.99978405
"이젠 진짜 급매 줄이려는 정부, 대책 또 나왔다",2023-01-22,0.000870944,0.015745962,0.9833831,0.000112253,9.38E-05,0.99979395
‘집값’ 때문에 이혼이 늘어나는 진짜 이유 [이인철 이혼 전문 변호사 2부],2023-01-21,0.002295756,0.07037814,0.92732614,6.75E-05,6.02E-05,0.9998723
요즘 남편의 이혼 사유로 빠르게 늘어나는 ‘이것’ [이인철 이혼 전문 변호사 1부],2023-01-20,0.000889646,0.09552347,0.9035869,9.64E-05,0.000103859,0.9997998
월 600만 원 버는 미혼 여성 100만 원 모으기도 힘듭니다 [상남자들],2023-01-20,0.001570593,0.012791899,0.9856376,0.000373034,0.000225447,0.99940157
투자로 돈버는 사람은 세상을 이렇게 바라봅니다 [홍진채 대표 1부],2023-01-19,0.003942822,0.023571491,0.9724857,9.54E-05,5.51E-05,0.99984944
"주담대 7% 시대, 이걸 꼭 이용하세요",2023-01-19,0.001800856,0.002794264,0.99540496,0.000204465,0.000121336,0.9996742
인생이 역전되는 순간 무조건 겪는 일 [카준형 1부],2023-01-18,0.002929184,0.029765204,0.9673056,0.000121992,0.000146358,0.9997316
속 타는 정부 vs 꽁꽁 언 시장 결국 집값은 이렇게 됩니다[박정호 교수 2부],2023-01-18,0.004984391,0.029307004,0.96570855,3.68E-05,5.49E-05,0.9999083
"경제학자들도 몰랐다, 지금 미국에서 일어나는 이상한 현상 [박정호 교수 1부]",2023-01-17,0.001569552,0.022129515,0.9763009,0.00030105,0.000304148,0.9993948
"""지금이라도 가진 거 다 팔고 집 살까요?"" [대신 결정해주는 남자]",2023-01-16,0.010869693,0.035857268,0.953273,9.05E-05,8.61E-05,0.9998235
이 2가지를 해결 못하면 한국은 말라죽을 겁니다,2023-01-15,0.000979457,0.022721654,0.9762989,0.00038337,0.001632709,0.99798393
결국 부동산으로 돈 버는 사람들 특징 [박익현 건물 투자자 풀버전],2023-01-14,0.00265524,0.007096697,0.9902481,0.000392535,0.000174848,0.9994325
공급 쏟아진다! '인천 송도' 임장&집값 분석 [부룡X부읽남의 사이버 임장기],2023-01-14,0.000288648,0.000827496,0.9988838,3.92E-05,3.90E-05,0.9999218
"집값 폭락 ‘이때쯤’ 멈출겁니다, 그 이유는요 [이종우 이코노미스트 풀버전]",2023-01-13,0.002221236,0.035116334,0.96266246,6.08E-05,0.000114109,0.9998252
"20대 후반 유부남, 월급을 전부 빚 갚는데 씁니다 [상남자들]",2023-01-13,0.001355328,0.020215241,0.97842944,0.000252422,0.000419507,0.99932814
이젠 주식 투자도 괜찮다고 생각하는 이유,2023-01-12,0.012203992,0.002893644,0.9849023,9.89E-05,8.16E-05,0.9998196
"혼돈의 금리, 앞으로 어떻게 될까?",2023-01-12,0.013828759,0.056856968,0.92931426,6.34E-05,7.12E-05,0.9998654
2억으로 서울에 신축 아파트 마련하는 방법은 이겁니다 [김제경 소장 2부],2023-01-11,0.009101333,0.027390363,0.96350825,5.69E-05,5.40E-05,0.999889
이제 9억이하 주택은 소득따지지 않고 고정금리 대출 나옵니다.,2023-01-11,0.001226496,0.007384294,0.9913893,0.000130728,9.76E-05,0.99977165
